160.4	55.1	6.4
105.9	56.6	5.8
141.6	77.9	16.7
120.8	53.2	12.2
353.9	76.4	7.1
341.1	59.4	6.9
81.6	84.4	8.7
80.2	71.5	8.5
151.5	74.9	9.6
347.8	82.6	6.3
114.4	65.6	11.1
91.5	78.2	4.2
184.2	63.8	10.7
252.7	76	5.2
244.5	65.2	6.6
217.4	68.2	8.1
167.4	38.9	5.4
227.9	77.6	3.4
185.1	72.7	4.2
166	60.1	11.3
201.1	56.8	10.6
260.2	63.5	4.1
235.7	59.1	3.8
267.2	69.3	7
201.8	62.8	5.4
120.4	64.1	11.4
252.4	72.4	6.7
213.2	64.1	8
164.9	64.2	8.6
145.3	52.6	3.6
241.3	65.9	5.8
148	75.6	3.7
144.5	67.2	6.7
188.9	62.1	6.3
171.2	44.9	5.5
142.2	48.8	6.6
147.2	59.1	8.4
164.9	63.1	3.4
255	84.6	12
155.9	67.8	7
147.4	56.1	6
52.2	81.3	6.3
132.2	48.9	9.4
46.4	70.2	4.2
78.6	60.8	10.9
165.2	68	9.6
219.9	71.8	9.7
249.6	86	7.5
148	78.8	9.3
9.5	78.4	7.3
157.9	65.7	6.4
334.1	75.5	4.4
194.1	68.5	5.3
176.5	55.8	8.9
284.8	65.8	5.3
198	86.7	4.8
297.5	76.3	13.4
